year,ghi,clr,rain,tmean,tmax,rh,kt,raindays,hot40,heavy
1984,4.9572863387978146,6.338695081967213,1794.3899999999999,26.58587431693989,32.95352459016394,67.874043715847,0.7820673300567286,111,67,6
1985,5.320317534246575,6.540648493150685,1484.67,26.743506849315068,33.059780821917805,69.29027397260275,0.8134235526978661,141,76,4
1986,5.244084657534247,6.48295890410959,1566.95,26.382465753424658,32.25671232876712,72.04106849315069,0.8089029616106292,132,54,5
1987,5.183354246575342,6.403581643835616,904.3,27.049397260273974,33.45764383561644,66.88915068493151,0.8094461092043823,112,50,0
1988,5.14132568306011,6.391969945355191,1284.36,27.007213114754098,33.10696721311475,69.33494535519125,0.8043413418731923,128,50,2
1989,5.215844383561644,6.396793424657535,1195.59,26.53394520547945,32.903424657534245,67.81361643835616,0.8153842147623964,116,53,2
1990,4.9982205479452055,6.399370410958904,1843.58,26.26249315068493,31.799123287671232,74.56643835616438,0.7810487949542297,171,20,5
1991,5.029106575342466,6.3858339726027395,1361.47,26.72372602739726,32.571342465753425,72.24342465753425,0.7875410787250239,113,68,5
1992,5.181702459016393,6.3676478142076505,1638.85,26.08762295081967,32.12969945355191,72.27543715846996,0.8137545621563512,124,59,3
1993,5.132348767123288,6.374694520547945,1626.15,26.460794520547946,32.59468493150685,70.77243835616439,0.8051128960893533,136,51,6
1994,5.078030684931507,6.4634920547945205,1584.24,26.539890410958904,32.48013698630137,71.14646575342465,0.7856481669478809,128,63,2
1995,4.89473397260274,6.338091232876712,1719.88,25.88013698630137,31.186739726027398,76.07153424657534,0.7722725648398617,148,28,6
1996,5.104970491803279,6.257762295081967,1012.61,26.445874316939893,32.377049180327866,70.83346994535519,0.8157821040622335,120,50,1
1997,4.970658904109589,6.190023013698631,1508.8700000000001,26.75767123287671,32.548,70.97846575342466,0.8030113770351794,142,45,5
1998,5.000438904109589,6.195802739726027,1487.76,26.84876712328767,32.40049315068493,73.64887671232877,0.8070687712583154,150,59,0
1999,5.080782465753424,6.325641369863014,1304.31,26.204301369863014,32.08887671232877,72.98841095890411,0.803204318531174,131,58,0
2000,5.203289071038252,6.230367759562842,1100.2,26.346256830601092,32.39021857923497,71.2092349726776,0.8351495885699279,120,36,1
2001,4.7616339726027395,6.128216164383561,1946.22,26.482,32.1653698630137,72.62093150684932,0.7770016338974416,157,40,7
2002,5.0558336986301375,6.069010136986302,1340.28,26.51123287671233,32.3501095890411,73.12008219178082,0.8330573824252534,126,54,2
2003,4.804049589041096,6.126873150684932,1857.72,26.569424657534245,32.21564383561643,73.52780821917808,0.7840948344922147,155,51,5
2004,5.067644262295082,6.118069945355192,1134.49,26.131448087431696,31.870081967213117,71.9813387978142,0.8283076701570586,116,45,1
2005,4.89049397260274,6.107202465753425,1639.58,26.677315068493147,32.40709589041096,71.94800000000001,0.8007748228467182,139,50,5
2006,4.945761369863014,6.087679726027397,1755.76,26.106054794520546,31.595424657534245,73.82600000000001,0.8124214138135092,130,34,8
2007,4.946870136986301,6.054422739726028,1650.41,26.178849315068494,31.778301369863012,73.9249315068493,0.8170671837180228,136,36,5
2008,4.778024316939891,5.95919480874317,1798.14,25.979726775956284,31.419480874316942,75.128087431694,0.801790253597634,141,28,5
2009,4.913918630136987,5.962405753424657,1327.6399999999999,27.040000000000003,32.953890410958905,69.73046575342465,0.8241503234352265,108,55,2
2010,4.878707671232877,6.011010684931507,1457.71,26.941753424657534,32.68621917808219,72.41849315068494,0.8116285142302101,132,58,2
2011,4.861187945205479,5.913437534246575,1571.55,26.076931506849316,31.702465753424658,73.32717808219178,0.822057883769434,136,17,3
2012,4.820262295081967,5.975736885245902,1398.23,26.55483606557377,32.4920218579235,70.86838797814208,0.8066389781958436,134,57,3
2013,4.813735342465754,5.991389315068494,1678.58,26.4066301369863,32.20482191780822,71.55605479452055,0.8034422550975096,137,50,6
2014,4.761127945205479,5.877214520547946,1552.0,26.21413698630137,31.82293150684932,72.5192602739726,0.8100993980327927,124,53,4
2015,4.785568219178082,5.844008767123288,1135.26,26.572876712328767,32.31016438356164,71.20161643835617,0.8188845037502873,148,21,0
2016,4.72600218579235,5.885306010928962,1431.86,26.801092896174865,32.692950819672134,71.56945355191256,0.8030172393782422,156,52,1
2017,4.762311780821918,5.927586301369863,1673.82,26.522164383561645,32.242438356164385,73.50386301369863,0.8034150054839942,152,45,4
2018,4.724185753424657,5.809393424657535,1803.55,25.885506849315068,31.523397260273974,73.25671232876712,0.813197765772448,145,24,6
2019,4.7159742465753425,5.865993424657534,1686.78,26.420136986301372,32.08712328767123,74.06016438356164,0.8039515057674428,150,45,3
2020,4.691395081967213,5.9436199453551914,1633.35,25.710983606557374,30.938633879781424,76.69631147540983,0.7893161280666062,165,15,4
2021,4.536354794520548,5.799896712328768,1691.46,26.382246575342467,31.706602739726026,74.01479452054795,0.78214406557925,172,29,4
2022,4.736181095890411,5.915835616438357,1381.65,26.06339726027397,31.627780821917806,74.3752602739726,0.8005937627357267,136,34,1
2023,4.614429041095891,5.798248219178082,1351.29,26.731972602739727,32.566931506849315,69.98742465753425,0.7958315799301877,150,44,3
2024,4.3927180327868856,5.75573825136612,1483.51,26.959617486338797,32.452185792349724,72.65937158469946,0.7631893322710215,170,41,1
2025,4.569475068493151,5.842760547945205,1417.08,25.97821917808219,31.472246575342467,75.36391780821917,0.7820746770291921,178,20,0
