period_start,period_end,days,generation_kwh,import_kwh,export_kwh,billed_amount_inr,billed_export_printed_kwh
2026-02-08,2026-03-01,22,321.91,278.96,161.73,858.89,161.73
2026-03-02,2026-04-01,31,389.55,486.97,183.18,1680.51,183.18
2026-04-02,2026-05-01,30,436.34,719.64,192.42,3021.63,192.42
2026-05-02,2026-06-01,31,436.53,598.40,192.63,2241.32,192.63
2026-06-02,2026-07-01,30,364.67,794.94,111.97,4024.95,111.97
2026-07-02,2026-08-01,31,268.76,623.31,102.05,2997.22,204.10
2026-08-02,2026-09-01,31,263.50,541.25,98.65,2496.05,98.65
