month,start,days,weather_days,coverage,actual_kwh,ghi_mean,poa_mean,e_eff_mean,e_eff_total,kt_mean,f_temp_mean,rain_mm,rain_days,t_air_mean,eta_implied,expected_kwh,residual_kwh,residual_pct
Feb,2026-02-08,22,22,1.0,321.91,5.249131818181818,5.622390271948736,5.218288746025606,114.80235241256334,0.6110045371254121,0.9280177272727272,5.08,2,23.99409090909091,0.9346788726743082,332.80954245213326,-10.899542452133232,-3.275008995182544
Mar,2026-03-02,31,31,1.0,389.55,5.122674193548388,5.243522100314004,4.7931180556575,148.5866597253825,0.5307892200220725,0.9141448387096772,18.93,6,28.618387096774192,0.8739007945934611,430.74952035811873,-41.19952035811872,-9.564612010215601
Apr,2026-04-02,30,30,1.0,436.34,5.576553333333333,5.550544594782229,5.017148422778912,150.51445268336735,0.528902033214496,0.904095,75.21,11,31.968333333333327,0.9663302365563416,436.3381505456232,0.001849454376781523,0.0004238580501083518
May,2026-05-02,31,31,1.0,436.53,6.1575903225806465,6.007203139628049,5.426192020854504,168.21195264648964,0.5636321873573089,0.9031716129032257,58.74999999999999,13,32.27612903225806,0.8650395986175873,487.64282106410656,-51.11282106410658,-10.48161048543093
Jun,2026-06-02,30,30,1.0,364.67,4.7585733333333335,4.635553868055114,4.193086286511827,125.79258859535481,0.4326735789003987,0.905466,161.71,21,31.511333333333333,0.966326140705204,364.67,0.0,0.0
Jul,2026-07-02,31,31,1.0,268.76,3.08351935483871,3.037013948260418,2.7809374723556335,86.20906164302464,0.28270166219977505,0.9157812903225807,569.14,27,28.07290322580645,1.0391792342854635,249.91820949396308,18.841790506036915,7.539182736699324
Aug,2026-08-02,31,27,0.8709677419354839,263.5,3.0827740740740746,3.051037898584927,2.7944706349788055,86.62858968434297,0.2898355767021822,0.9163527586206895,374.94999999999993,28,27.882413793103453,1.0139069982944453,251.13441223321738,12.365587766782625,4.923892212469573
