date,ALLSKY_SFC_SW_DWN,kt,diffuse_fraction,rb,poa,T2M,f_temp,e_eff,PRECTOTCORR
2026-02-08 00:00:00+05:30,5.6359,0.6898938657045544,0.2602102469002614,1.149790964593017,6.251801609776539,21.28,0.93616,5.852686595008405,0.0
2026-02-09 00:00:00+05:30,5.4209,0.6604008342275745,0.31324294238494543,1.1474567470012234,5.958412324951513,20.95,0.93715,5.583926110328311,0.0
2026-02-10 00:00:00+05:30,5.3258,0.6456993842061991,0.3422441753659027,1.145110858253573,5.821201804517548,21.55,0.93535,5.4448611078554885,0.0
2026-02-11 00:00:00+05:30,5.2135,0.6290391189290779,0.3766723699548844,1.1427544139258603,5.662790655452497,21.72,0.93484,5.293803216343212,0.0
2026-02-12 00:00:00+05:30,5.202,0.6246204327824461,0.38603233108667667,1.140388503879523,5.63526043113653,22.9,0.9313,5.2481180395174505,0.0
2026-02-13 00:00:00+05:30,5.287,0.6317552312125521,0.37096258124158243,1.138014191504708,5.731499362313593,22.47,0.93259,5.3451389903000335,0.0
2026-02-14 00:00:00+05:30,5.2462,0.6238433083937276,0.38768712939937444,1.1356325134224603,5.666550361807269,22.83,0.9315100000000001,5.278448327527089,0.0
2026-02-15 00:00:00+05:30,5.153,0.6097905566038727,0.4180004959803081,1.1332308812732044,5.535786966524767,24.11,0.92767,5.13538349523603,0.0
2026-02-16 00:00:00+05:30,5.0306,0.5924206812398858,0.45625080429142195,1.1308248519530941,5.369974159185735,23.42,0.92974,4.992679774761346,0.0
2026-02-17 00:00:00+05:30,5.1787,0.60690720370652,0.4242995971811683,1.1284157010335867,5.544337621838585,22.99,0.93103,5.161944656060378,0.0
2026-02-18 00:00:00+05:30,5.5675,0.649314857093233,0.3349797341955143,1.126003769125623,6.020951432015372,23.31,0.93007,5.5999062983745365,0.0
2026-02-19 00:00:00+05:30,4.715,0.5472352219182677,0.5570645082462966,1.123590443396387,4.950595063931606,23.54,0.92938,4.600984040516756,0.0
2026-02-20 00:00:00+05:30,5.5932,0.6460330697443419,0.34157034200720604,1.1211762044575626,6.0259183938040914,24.16,0.92752,5.589159828621171,0.0
2026-02-21 00:00:00+05:30,5.1494,0.591914600608893,0.4573743913954522,1.1187620542801981,5.462262672694684,25.2,0.9244,5.0493156146389655,0.01
